symbol,date,period,Revenue,OtherRevenueTotal,TotalRevenue,CostofRevenueTotal,GrossProfit,SellingGeneralAdminExpensesTotal,ResearchDevelopment,DepreciationAmortization,InterestExpenseIncomeNetOperating,UnusualExpenseIncome,OtherOperatingExpensesTotal,TotalOperatingExpense,OperatingIncome,InterestIncomeExpenseNetNonOperating,GainLossonSaleofAssets,OtherNet,IncomeBeforeTax,IncomeAfterTax,MinorityInterest,EquityInAffiliates,NetIncomeBeforeExtraItems,AccountingChange,DiscontinuedOperations,ExtraordinaryItem,NetIncome,PreferredDividends,IncomeAvailabletoCommonExclExtraItems,IncomeAvailabletoCommonInclExtraItems,BasicWeightedAverageShares,BasicEPSExcludingExtraordinaryItems,BasicEPSIncludingExtraordinaryItems,DilutionAdjustment,DilutedWeightedAverageShares,DilutedEPSExcludingExtraordinaryItems,DilutedEPSIncludingExtraordinaryItems,DividendsperShareCommonStockPrimaryIssue,GrossDividendsCommonStock,NetIncomeafterStockBasedCompExpense,BasicEPSafterStockBasedCompExpense,DilutedEPSafterStockBasedCompExpense,DepreciationSupplemental,TotalSpecialItems,NormalizedIncomeBeforeTaxes,EffectofSpecialItemsonIncomeTaxes,IncomeTaxesExImpactofSpecialItems,NormalizedIncomeAfterTaxes,NormalizedIncomeAvailtoCommon,BasicNormalizedEPS,DilutedNormalizedEPS
BGC,2015-12-31,13 weeks ending,913.30,NA,913.30,854.50,58.80,94.50,NA,NA,NA,0.70,NA,949.70,-36.40,NA,NA,-8.40,-66.90,-51.80,6.80,0.10,-44.90,NA,NA,NA,-47.90,NA,-44.90,-47.90,NA,NA,NA,NA,48.90,-0.92,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.91
BGC,2015-10-02,13 weeks ending,1096.40,NA,1096.40,981.10,115.30,90.50,NA,NA,NA,0.00,NA,1071.60,24.80,NA,NA,-28.90,-26.60,-31.90,2.80,0.10,-29.00,NA,NA,NA,-29.00,NA,-29.00,-29.00,NA,NA,NA,NA,48.90,-0.59,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.59
BGC,2015-12-31,52 weeks ending,4225.10,NA,4225.10,3811.30,413.80,390.80,NA,NA,NA,2.40,NA,4204.50,20.60,NA,NA,-67.00,-139.30,-124.60,13.90,0.40,-110.30,NA,NA,NA,-121.90,NA,-110.30,-121.90,NA,NA,NA,NA,48.90,-2.26,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.22
BGC,2014-12-31,52 weeks ending,5389.00,NA,5389.00,5053.70,335.30,410.00,NA,NA,NA,171.80,NA,5635.50,-246.50,NA,NA,-210.80,-567.40,-574.00,15.40,1.20,-557.40,NA,NA,NA,-627.60,NA,-557.40,-627.60,NA,NA,NA,NA,48.80,-11.42,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.13
BGC,2013-12-31,53 weeks ending,5781.30,NA,5781.30,5176.30,605.00,429.20,NA,NA,NA,0.00,NA,5605.50,175.80,NA,NA,-66.60,-6.90,-37.40,-7.70,1.70,-43.40,NA,NA,NA,-17.80,NA,-43.70,-18.10,NA,NA,NA,NA,49.40,-0.88,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88
BGC,2012-12-31,53 weeks ending,6059.50,NA,6059.50,5434.60,624.90,425.50,NA,NA,NA,9.30,NA,5869.40,190.10,NA,NA,-2.90,86.90,8.30,-5.70,1.70,4.30,NA,NA,NA,4.30,NA,4.00,4.00,NA,NA,NA,0.09,51.10,0.08,NA,0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20
BGCP,2016-09-30,3 months ending,643.50,NA,643.50,5.06,638.45,583.10,NA,14.60,NA,0.50,19.71,622.97,20.53,NA,NA,90.93,104.53,74.27,-13.38,NA,60.88,NA,NA,NA,60.88,NA,60.88,60.88,NA,NA,NA,31.24,429.76,0.21,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22
BGCP,2016-06-30,3 months ending,651.96,NA,651.96,3.53,648.43,573.92,NA,14.20,NA,1.40,23.68,616.74,35.22,NA,NA,10.01,31.11,20.56,-4.84,NA,15.72,NA,NA,NA,15.72,NA,15.72,15.72,NA,NA,NA,9.63,437.26,0.06,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
BGCP,2016-03-31,3 months ending,639.04,NA,639.04,6.21,632.83,557.17,NA,14.10,NA,1.80,22.81,602.09,36.95,NA,NA,-2.92,21.13,16.29,-2.63,NA,13.66,NA,NA,NA,13.66,NA,13.66,13.66,NA,NA,NA,8.54,434.86,0.05,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05
BGCP,2015-12-31,3 months ending,673.44,NA,673.44,4.48,668.97,740.08,NA,22.60,NA,0.30,57.02,824.48,-151.04,NA,NA,12.97,251.93,172.49,-107.48,NA,65.02,NA,NA,NA,65.02,NA,65.02,65.02,NA,NA,NA,10.39,335.39,0.22,NA,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23
