"market","symbol","name","ipoyear","sector","industry","quote"
"NYSE","GSJ.CL","Goldman Sachs Group, Inc. (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gsj.cl"
"NYSE","GSK","GlaxoSmithKline PLC","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gsk"
"NYSE","GSL","Global Ship Lease, Inc.","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gsl"
"NYSE","GSL^B","Global Ship Lease, Inc.","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gsl^b"
"NASDAQ","GSM","Ferroglobe PLC","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gsm"
"NASDAQ","GSOL","Global Sources Ltd.","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/gsol"
"NASDAQ","GSUM","Gridsum Holding Inc.","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gsum"
"NASDAQ","GSVC","GSV Capital Corp","2011","n/a","n/a","http://www.nasdaq.com/symbol/gsvc"
"NYSE","GS^A","Goldman Sachs Group, Inc. (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^a"
"NYSE","GS^B","Goldman Sachs Group, Inc. (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^b"
"NYSE","GS^C","Goldman Sachs Group, Inc. (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^c"
"NYSE","GS^D","Goldman Sachs Group, Inc. (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^d"
"NYSE","GS^I","Goldman Sachs Group, Inc. (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^i"
"NYSE","GS^J","Goldman Sachs Group, Inc. (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^j"
"NYSE","GS^K","Goldman Sachs Group, Inc. (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^k"
"NYSE","GS^N","Goldman Sachs Group, Inc. (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gs^n"
"NASDAQ","GT","The Goodyear Tire & Rubber Company","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/gt"
"NASDAQ","GTIM","Good Times Restaurants Inc.","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/gtim"
"NASDAQ","GTLS","Chart Industries, Inc.","2006","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gtls"
"NYSE","GTN","Gray Television, Inc.","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/gtn"
"NYSE","GTN.A","Gray Television, Inc.","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gtn.a"
"NYSE","GTS","Triple-S Management Corporation","2007","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/gts"
"NYSE","GTT","GTT Communications, Inc.","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/gtt"
"NASDAQ","GTWN","Georgetown Bancorp, Inc.","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gtwn"
"NASDAQ","GTXI","GTx, Inc.","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gtxi"
"NYSE","GTY","Getty Realty Corporation","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/gty"
"NASDAQ","GUID","Guidance Software, Inc.","2006","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/guid"
"NASDAQ","GULF","WisdomTree Middle East Dividend Fund","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gulf"
"NASDAQ","GURE","Gulf Resources, Inc.","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/gure"
"NYSE","GUT","Gabelli Utility Trust (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gut"
"NYSE","GUT^A","Gabelli Utility Trust (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gut^a"
"NYSE","GUT^C","Gabelli Utility Trust (The)","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gut^c"
"NYSE","GVA","Granite Construction Incorporated","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/gva"
"NYSE","GWB","Great Western Bancorp, Inc.","2014","Finance","Major Banks","http://www.nasdaq.com/symbol/gwb"
"NASDAQ","GWGH","GWG Holdings, Inc","2014","Finance","Life Insurance","http://www.nasdaq.com/symbol/gwgh"
"NASDAQ","GWPH","GW Pharmaceuticals Plc","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gwph"
"NYSE","GWR","Genesee & Wyoming, Inc.","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/gwr"
"NYSE","GWRE","Guidewire Software, Inc.","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gwre"
"NASDAQ","GWRS","Global Water Resources, Inc.","2016","Public Utilities","Water Supply","http://www.nasdaq.com/symbol/gwrs"
"NYSE","GWW","W.W. Grainger, Inc.","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/gww"
"NYSE","GXP","Great Plains Energy Inc","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/gxp"
"NYSE","GXP^B","Great Plains Energy Inc","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gxp^b"
"NYSE","GYB","CABCO Series 2004-101 Trust","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyb"
"NYSE","GYC","Corporate Asset Backed Corp CABCO","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/gyc"
"NASDAQ","GYRO","Gyrodyne , LLC","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/gyro"
"NYSE","GZT","Gazit-Globe Ltd.","2011","Finance","Real Estate","http://www.nasdaq.com/symbol/gzt"
"NYSE","H","Hyatt Hotels Corporation","2009","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/h"
"NASDAQ","HA","Hawaiian Holdings, Inc.","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/ha"
"NASDAQ","HABT","The Habit Restaurants, Inc.","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/habt"
"NYSE","HAE","Haemonetics Corporation","1991","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hae"
"NASDAQ","HAFC","Hanmi Financial Corporation","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hafc"
"NASDAQ","HAIN","The Hain Celestial Group, Inc.","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/hain"
"NYSE","HAL","Halliburton Company","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/hal"
"NASDAQ","HALL","Hallmark Financial Services, Inc.","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hall"
"NASDAQ","HALO","Halozyme Therapeutics, Inc.","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/halo"
"NYSE","HAR","Harman International Industries, Incorporated","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/har"
"NASDAQ","HAS","Hasbro, Inc.","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/has"
"NYSE","HASI","Hannon Armstrong Sustainable Infrastructure Capital, Inc.","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hasi"
"NASDAQ","HAWK","Blackhawk Network Holdings, Inc.","2013","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hawk"
"NASDAQ","HAYN","Haynes International, Inc.","2007","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/hayn"
